Ngày,Lần Cuối,Mở,Cao ,Thấp,KL ,% Thay đổi
12/1/2020,"101,599.80","99,377.00","101,692.40","99,284.40",2.49M,1.39%
11/30/2020,"100,210.50","101,692.40","101,877.60","100,025.30",2.69M,-1.46%
11/27/2020,"101,692.40","101,785.00","101,785.00","100,673.60",2.82M,-0.09%
11/26/2020,"101,785.00","102,711.20","102,711.20","101,229.30",1.49M,-0.54%
11/25/2020,"102,340.70","101,507.10","102,803.80","101,044.10",2.19M,0.82%
11/24/2020,"101,507.10","102,433.30","102,711.20","100,951.40",1.94M,-0.90%
11/23/2020,"102,433.30","102,803.80","103,081.60","101,692.40",2.10M,-0.27%
11/20/2020,"102,711.20","101,785.00","103,266.80","101,044.10",2.80M,1.09%
11/19/2020,"101,599.80","101,321.90","101,599.80","100,951.40",3.14M,0.27%
11/18/2020,"101,321.90","100,025.30","101,414.50","99,840.10",3.40M,1.67%
11/17/2020,"99,654.80","99,284.40","99,747.40","99,099.10",1.65M,0.47%
11/16/2020,"99,191.70","99,562.20","100,673.60","99,099.10",2.57M,-0.28%
11/13/2020,"99,469.60","99,099.10","99,469.60","99,099.10",1.09M,0.37%
11/12/2020,"99,099.10","99,562.20","99,562.20","98,821.30",1.07M,-0.47%
11/11/2020,"99,562.20","99,932.70","99,932.70","98,173.00",2.43M,0.00%
11/10/2020,"99,562.20","101,044.10","101,136.70","99,562.20",2.30M,-1.19%
11/9/2020,"100,766.20","100,951.40","101,321.90","100,488.40",1.07M,0.00%
11/6/2020,"100,766.20","101,136.70","101,321.90","100,025.30",1.01M,0.00%
11/5/2020,"100,766.20","100,025.30","101,321.90","100,025.30",1.89M,0.74%
11/4/2020,"100,025.30","100,025.30","101,321.90","99,469.60",1.34M,0.28%
11/3/2020,"99,747.40","99,654.80","100,025.30","99,099.10",870.23K,0.09%
11/2/2020,"99,654.80","99,099.10","100,025.30","99,099.10",867.34K,-0.37%
10/30/2020,"100,025.30","99,099.10","100,025.30","97,524.70",2.68M,1.03%
10/29/2020,"99,006.50","98,636.00","99,284.40","97,802.50",1.72M,-0.47%
10/28/2020,"99,469.60","100,951.40","100,951.40","98,636.00",2.61M,-2.01%
10/27/2020,"101,507.10","101,877.60","102,803.80","101,044.10",1.72M,-0.81%
10/26/2020,"102,340.70","102,803.80","104,193.00","101,877.60",2.31M,0.45%
10/23/2020,"101,877.60","99,562.20","101,877.60","99,191.70",2.95M,3.09%
10/22/2020,"98,821.30","98,913.90","98,913.90","97,339.40",2.42M,0.28%
10/21/2020,"98,543.40","98,636.00","99,006.50","98,173.00",805.55K,0.19%
10/20/2020,"98,358.20","99,377.00","99,654.80","98,173.00",2.15M,-1.39%
10/19/2020,"99,747.40","99,469.60","100,303.10","99,469.60",1.62M,0.28%
10/16/2020,"99,469.60","99,562.20","100,025.30","99,006.50",1.64M,-0.09%
10/15/2020,"99,562.20","99,840.10","99,932.70","99,099.10",1.85M,0.09%
10/14/2020,"99,469.60","99,191.70","99,747.40","98,913.90",1.30M,0.28%
10/13/2020,"99,191.70","99,099.10","100,025.30","99,006.50",858.55K,0.09%
10/12/2020,"99,099.10","98,913.90","99,840.10","98,728.70",1.21M,0.28%
10/9/2020,"98,821.30","99,099.10","99,191.70","98,728.70",980.97K,-0.19%
10/8/2020,"99,006.50","99,932.70","99,932.70","98,913.90",1.33M,-1.02%
10/7/2020,"100,025.30","98,913.90","100,025.30","98,636.00",2.15M,0.93%
10/6/2020,"99,099.10","99,377.00","100,025.30","98,636.00",2.04M,-0.28%
10/5/2020,"99,377.00","100,025.30","100,951.40","99,099.10",1.43M,-0.65%
10/2/2020,"100,025.30","101,414.50","101,970.20","98,821.30",2.86M,-1.19%
10/1/2020,"101,229.30","100,951.40","101,321.90","99,932.70",1.70M,0.37%
9/30/2020,"100,858.80","101,877.60","103,174.20","100,488.40",1.43M,-0.27%
9/29/2020,"101,136.70","101,877.60","104,285.60","100,025.30",5.19M,3.48%
9/28/2020,"97,735.60","97,507.10","97,964.10","96,973.80",2.60M,0.47%
9/25/2020,"97,278.50","97,354.70","97,507.10","97,126.20",1.21M,0.31%
9/24/2020,"96,973.80","97,659.40","98,192.70","96,973.80",1.81M,-1.47%
9/23/2020,"98,421.20","98,954.50","99,183.00","98,345.00",1.25M,-0.31%
9/22/2020,"98,725.90","99,106.80","99,183.00","97,888.00",1.49M,-0.38%
9/21/2020,"99,106.80","96,288.20","99,183.00","96,288.20",3.14M,2.93%
9/18/2020,"96,288.20","94,917.00","96,288.20","94,612.30",1.47M,1.53%
9/17/2020,"94,840.90","94,460.00","95,831.20","94,460.00",1.65M,0.24%
9/16/2020,"94,612.30","95,221.80","95,221.80","94,383.80",869.41K,-0.48%
9/15/2020,"95,069.40","94,612.30","95,145.60","94,460.00",1.06M,0.48%
9/14/2020,"94,612.30","94,764.70","95,221.80","94,460.00",1.43M,0.32%
9/11/2020,"94,307.60","94,612.30","94,993.20","94,079.10",1.15M,-0.72%
9/10/2020,"94,993.20","95,221.80","95,526.50","94,764.70",1.02M,0.73%
9/9/2020,"94,307.60","93,317.30","94,383.80","92,555.50",1.95M,-0.32%
9/8/2020,"94,612.30","95,907.40","97,050.00","94,383.80",2.17M,-1.43%
9/7/2020,"95,983.50","95,221.80","97,811.80","95,145.60",2.61M,0.80%
9/4/2020,"95,221.80","94,231.50","95,221.80","93,774.40",2.05M,0.24%
9/3/2020,"94,993.20","94,079.10","95,069.40","94,079.10",2.42M,1.22%
9/1/2020,"93,850.60","92,174.70","93,850.60","91,565.20",1.74M,1.82%
8/31/2020,"92,174.70","91,641.40","92,174.70","91,032.00",1.96M,1.43%
8/28/2020,"90,879.60","89,737.00","91,412.90","89,279.90",1.61M,1.79%
8/27/2020,"89,279.90","89,508.50","89,813.20","89,127.60",959.48K,0.09%
8/26/2020,"89,203.70","89,889.30","90,041.70","89,051.40",2.31M,-0.17%
8/25/2020,"89,356.10","89,127.60","89,813.20","88,975.20",2.03M,0.69%
8/24/2020,"88,746.70","88,746.70","89,584.60","88,365.80",1.83M,0.78%
8/21/2020,"88,061.10","87,984.90","88,365.80","87,680.20",1.06M,0.35%
8/20/2020,"87,756.40","87,832.50","88,213.40","87,299.30",1.51M,-0.09%
8/19/2020,"87,832.50","88,365.80","88,365.80","87,527.80",1.18M,-0.26%
8/18/2020,"88,061.10","89,127.60","89,432.30","88,061.10",725.48K,-1.20%
8/17/2020,"89,127.60","89,127.60","89,813.20","87,832.50",1.09M,0.26%
8/14/2020,"88,899.00","88,822.90","89,889.30","88,518.10",1.95M,0.26%
8/13/2020,"88,670.50","88,365.80","88,822.90","88,289.60",1.49M,0.69%
8/12/2020,"88,061.10","87,223.10","88,289.60","87,223.10",1.74M,0.96%
8/11/2020,"87,223.10","87,527.80","87,604.00","86,842.20",1.02M,0.00%
8/10/2020,"87,223.10","88,365.80","88,746.70","87,223.10",1.70M,-0.87%
8/7/2020,"87,984.90","87,604.00","88,365.80","87,451.70",1.38M,0.61%
8/6/2020,"87,451.70","85,471.00","88,365.80","85,394.90",1.63M,2.41%
8/5/2020,"85,394.90","84,937.80","86,537.50","83,795.10",1.07M,0.72%
8/4/2020,"84,785.50","84,556.90","84,785.50","83,719.00",918.20K,1.92%
8/3/2020,"83,185.70","82,271.60","83,795.10","82,043.10",1.03M,2.06%
7/31/2020,"81,509.80","81,509.80","83,185.70","81,128.90",1.01M,-1.83%
7/30/2020,"83,033.40","82,271.60","83,414.30","81,357.50",1.23M,2.83%
7/29/2020,"80,748.10","82,652.50","82,957.20","80,367.20",1.80M,-3.55%
7/28/2020,"83,719.00","79,224.50","83,719.00","79,224.50",1.67M,6.29%
7/27/2020,"78,767.40","81,586.00","81,966.90","78,767.40",3.06M,-6.93%
7/24/2020,"84,633.10","86,994.60","86,994.60","83,033.40",2.78M,-2.71%
7/23/2020,"86,994.60","86,994.60","87,299.30","86,461.40",919.80K,0.09%
7/22/2020,"86,918.40","87,908.70","88,365.80","86,918.40",1.26M,-1.64%
7/21/2020,"88,365.80","88,137.30","88,594.30","87,299.30",1.94M,0.26%
7/20/2020,"88,137.30","88,365.80","88,899.00","87,984.90",569.64K,-0.94%
7/17/2020,"88,975.20","88,899.00","89,432.30","88,746.70",700.21K,-0.60%
7/16/2020,"89,508.50","88,899.00","89,508.50","88,518.10",1.33M,1.29%
7/15/2020,"88,365.80","88,365.80","89,127.60","88,365.80",1.22M,0.69%
7/14/2020,"87,756.40","86,994.60","87,756.40","86,766.10",877.40K,0.35%
7/13/2020,"87,451.70","87,832.50","88,213.40","87,070.80",1.13M,-0.43%
7/10/2020,"87,832.50","88,365.80","88,670.50","87,832.50",812.62K,-0.52%
7/9/2020,"88,289.60","87,984.90","88,899.00","87,984.90",1.87M,0.35%
7/8/2020,"87,984.90","88,365.80","88,365.80","87,984.90",661.57K,-0.43%
7/7/2020,"88,365.80","88,746.70","89,203.70","88,365.80",1.23M,-0.43%
7/6/2020,"88,746.70","87,223.10","88,822.90","87,070.80",1.58M,2.10%
7/3/2020,"86,918.40","86,080.50","86,994.60","85,928.10",875.15K,0.97%
7/2/2020,"86,080.50","87,451.70","87,527.80","86,080.50",864.58K,-1.48%
7/1/2020,"87,375.50","85,851.90","87,604.00","85,318.70",540.02K,-5.74%
6/30/2020,"92,697.00","92,943.00","93,355.00","92,039.00",957.55K,0.71%
6/29/2020,"92,039.00","93,766.00","94,013.00","90,558.00",1.82M,-2.19%
6/26/2020,"94,095.00","94,663.00","95,069.00","93,689.00",594.90K,-0.43%
6/25/2020,"94,501.00","94,582.00","94,582.00","93,608.00",687.32K,-0.60%
6/24/2020,"95,069.00","94,501.00","96,125.00","94,501.00",901.15K,0.95%
6/23/2020,"94,176.00","94,176.00","94,501.00","93,851.00",1.28M,0.52%
6/22/2020,"93,689.00","93,364.00","94,095.00","93,202.00",1.04M,0.35%
6/19/2020,"93,364.00","93,527.00","94,582.00","93,364.00",1.50M,-0.17%
6/18/2020,"93,527.00","93,851.00","94,663.00","92,634.00",627.79K,-0.35%
6/17/2020,"93,851.00","94,988.00","95,150.00","93,689.00",616.28K,-1.20%
6/16/2020,"94,988.00","93,040.00","95,394.00","92,552.00",1.01M,4.46%
6/15/2020,"90,929.00","97,424.00","98,154.00","90,929.00",2.47M,-5.08%
6/12/2020,"95,800.00","95,800.00","97,261.00","93,040.00",2.87M,-3.52%
6/11/2020,"99,291.00","99,859.00","101,483.00","98,235.00",1.32M,-0.57%
6/10/2020,"99,859.00","102,295.00","102,295.00","99,697.00",1.49M,-1.60%
6/9/2020,"101,483.00","99,940.00","102,295.00","99,940.00",2.05M,1.79%
6/8/2020,"99,697.00","96,774.00","100,184.00","96,693.00",1.70M,3.02%
6/5/2020,"96,774.00","95,637.00","96,774.00","94,744.00",1.29M,1.19%
6/4/2020,"95,637.00","94,988.00","95,719.00","94,988.00",882.50K,1.03%
6/3/2020,"94,663.00","94,338.00","95,881.00","93,851.00",1.59M,0.52%
6/2/2020,"94,176.00","94,257.00","94,988.00","93,933.00",1.07M,-0.09%
6/1/2020,"94,257.00","93,445.00","94,988.00","93,445.00",1.26M,0.96%
5/29/2020,"93,364.00","92,146.00","93,527.00","92,146.00",1.44M,0.17%
5/28/2020,"93,202.00","93,364.00","94,176.00","93,202.00",1.21M,-0.17%
5/27/2020,"93,364.00","95,556.00","95,637.00","93,364.00",1.33M,-2.21%
5/26/2020,"95,475.00","95,800.00","95,800.00","93,527.00",1.18M,0.00%
5/25/2020,"95,475.00","92,958.00","95,475.00","92,634.00",1.90M,2.80%
5/22/2020,"92,877.00","92,877.00","93,202.00","92,146.00",1.30M,-0.52%
5/21/2020,"93,364.00","92,552.00","93,364.00","92,146.00",1.90M,0.88%
5/20/2020,"92,552.00","91,335.00","92,877.00","91,335.00",1.44M,1.24%
5/19/2020,"91,416.00","92,390.00","92,877.00","91,172.00",1.72M,1.35%
5/18/2020,"90,198.00","89,954.00","90,766.00","88,493.00",1.08M,0.27%
5/15/2020,"89,954.00","91,741.00","92,146.00","88,818.00",2.78M,-1.95%
5/14/2020,"91,741.00","91,416.00","92,471.00","91,335.00",1.68M,-0.62%
5/13/2020,"92,309.00","91,903.00","93,364.00","89,305.00",3.01M,-0.18%
5/12/2020,"92,471.00","88,087.00","92,877.00","87,194.00",3.53M,4.98%
5/11/2020,"88,087.00","85,246.00","88,087.00","85,002.00",2.15M,3.33%
5/8/2020,"85,246.00","84,840.00","87,356.00","84,434.00",3.82M,1.55%
5/7/2020,"83,947.00","82,485.00","84,271.00","82,404.00",1.90M,1.87%
5/6/2020,"82,404.00","81,755.00","82,404.00","80,943.00",1.33M,1.00%
5/5/2020,"81,592.00","80,212.00","81,917.00","79,563.00",1.40M,2.97%
5/4/2020,"79,238.00","78,751.00","80,374.00","78,751.00",1.48M,-1.41%
4/29/2020,"80,374.00","80,780.00","81,105.00","80,374.00",2.12M,-1.49%
4/28/2020,"81,592.00","83,460.00","83,622.00","80,943.00",1.68M,-2.24%
4/27/2020,"83,460.00","86,463.00","86,463.00","83,460.00",2.34M,0.00%
4/24/2020,"83,460.00","80,618.00","83,460.00","79,157.00",4.35M,6.97%
4/23/2020,"78,020.00","80,050.00","80,050.00","77,858.00",1.73M,-1.44%
4/22/2020,"79,157.00","78,020.00","79,238.00","77,776.00",1.30M,0.72%
4/21/2020,"78,588.00","81,186.00","81,186.00","77,776.00",2.56M,-3.20%
4/20/2020,"81,186.00","81,186.00","82,161.00","81,186.00",1.77M,0.70%
4/17/2020,"80,618.00","81,186.00","81,267.00","80,374.00",2.12M,0.00%
4/16/2020,"80,618.00","80,618.00","80,780.00","80,293.00",1.39M,0.10%
4/15/2020,"80,537.00","80,943.00","80,943.00","80,537.00",1.06M,0.20%
4/14/2020,"80,374.00","80,780.00","80,943.00","80,131.00",1.27M,-0.10%
4/13/2020,"80,456.00","80,862.00","81,024.00","79,806.00",1.35M,-0.50%
4/10/2020,"80,862.00","81,186.00","81,186.00","79,644.00",1.33M,-0.50%
4/9/2020,"81,267.00","81,105.00","81,917.00","80,537.00",1.46M,1.11%
4/8/2020,"80,374.00","79,563.00","80,374.00","78,345.00",1.09M,0.51%
4/7/2020,"79,969.00","78,345.00","80,374.00","77,776.00",2.73M,2.39%
4/6/2020,"78,101.00","78,345.00","78,426.00","77,127.00",2.21M,1.26%
4/3/2020,"77,127.00","76,721.00","77,533.00","76,315.00",2.32M,1.06%
4/1/2020,"76,315.00","73,880.00","76,315.00","73,880.00",1.39M,3.30%
3/31/2020,"73,880.00","75,097.00","75,828.00","73,068.00",1.55M,-0.22%
3/30/2020,"74,042.00","73,068.00","75,097.00","72,256.00",1.87M,-3.08%
3/27/2020,"76,396.00","75,503.00","77,371.00","74,691.00",3.31M,0.11%
3/26/2020,"76,315.00","74,935.00","77,127.00","72,093.00",3.07M,2.17%
3/25/2020,"74,691.00","73,555.00","74,773.00","73,149.00",3.59M,6.85%
3/24/2020,"69,901.00","67,953.00","71,688.00","67,953.00",2.09M,2.87%
3/23/2020,"67,953.00","72,337.00","72,337.00","67,953.00",2.63M,-7.00%
3/20/2020,"73,068.00","72,256.00","74,123.00","72,256.00",2.78M,1.12%
3/19/2020,"72,256.00","75,503.00","76,315.00","72,256.00",3.33M,-6.32%
3/18/2020,"77,127.00","78,101.00","79,400.00","77,127.00",1.59M,-1.04%
3/17/2020,"77,939.00","77,939.00","78,264.00","77,127.00",2.15M,-1.03%
3/16/2020,"78,751.00","80,456.00","80,537.00","78,345.00",1.30M,-2.12%
3/13/2020,"80,456.00","77,289.00","81,673.00","77,289.00",2.59M,-1.78%
3/12/2020,"81,917.00","78,913.00","82,404.00","78,751.00",2.92M,-0.69%
3/11/2020,"82,485.00","82,810.00","85,246.00","80,537.00",2.75M,-0.10%
3/10/2020,"82,566.00","77,939.00","82,648.00","77,939.00",2.11M,4.84%
3/9/2020,"78,751.00","81,186.00","83,216.00","78,751.00",2.83M,-6.91%
3/6/2020,"84,596.00","84,840.00","85,083.00","84,109.00",797.90K,-0.29%
3/5/2020,"84,840.00","85,246.00","85,976.00","84,840.00",525.62K,-0.29%
3/4/2020,"85,083.00","85,489.00","86,057.00","84,840.00",735.36K,-0.47%
3/3/2020,"85,489.00","85,652.00","86,220.00","84,921.00",889.66K,0.76%
3/2/2020,"84,840.00","84,840.00","85,652.00","84,271.00",1.09M,0.00%
2/28/2020,"84,840.00","85,489.00","86,139.00","83,622.00",1.72M,-2.70%
2/27/2020,"87,194.00","85,246.00","87,194.00","84,271.00",1.04M,2.29%
2/26/2020,"85,246.00","86,626.00","86,626.00","85,246.00",1.62M,-2.78%
2/25/2020,"87,681.00","86,301.00","88,087.00","86,057.00",1.44M,1.50%
2/24/2020,"86,382.00","86,869.00","87,519.00","86,057.00",1.15M,-1.94%
2/21/2020,"88,087.00","87,275.00","88,818.00","87,275.00",1.78M,1.97%
2/20/2020,"86,382.00","86,869.00","87,275.00","86,301.00",749.54K,0.00%
2/19/2020,"86,382.00","85,246.00","86,626.00","85,246.00",953.36K,0.85%
2/18/2020,"85,652.00","87,519.00","87,519.00","85,489.00",1.29M,-1.86%
2/17/2020,"87,275.00","86,707.00","87,356.00","86,707.00",748.02K,0.84%
2/14/2020,"86,545.00","87,032.00","87,194.00","86,545.00",849.70K,-0.28%
2/13/2020,"86,788.00","87,032.00","87,275.00","86,545.00",856.27K,-0.28%
2/12/2020,"87,032.00","87,681.00","87,681.00","87,032.00",1.01M,0.00%
2/11/2020,"87,032.00","88,493.00","88,493.00","86,869.00",1.06M,-1.65%
2/10/2020,"88,493.00","88,493.00","88,818.00","87,113.00",1.09M,-1.09%
2/7/2020,"89,467.00","87,438.00","89,711.00","87,356.00",1.83M,2.51%
2/6/2020,"87,275.00","86,057.00","88,168.00","85,976.00",2.56M,0.84%
2/5/2020,"86,545.00","86,382.00","87,438.00","83,865.00",1.85M,1.52%
2/4/2020,"85,246.00","89,224.00","89,305.00","84,515.00",2.24M,-3.05%
2/3/2020,"87,925.00","82,404.00","89,711.00","81,998.00",2.75M,-0.18%
1/31/2020,"88,087.00","94,501.00","94,663.00","88,087.00",2.30M,-6.95%
1/30/2020,"94,663.00","96,612.00","97,261.00","94,338.00",1.84M,-3.87%
1/22/2020,"98,479.00","98,235.00","98,966.00","98,235.00",953.33K,0.25%
1/21/2020,"98,235.00","96,612.00","98,966.00","96,287.00",1.02M,1.68%
1/20/2020,"96,612.00","96,612.00","96,774.00","96,125.00",592.32K,0.34%
1/17/2020,"96,287.00","95,962.00","96,287.00","95,637.00",450.04K,0.34%
1/16/2020,"95,962.00","95,637.00","96,206.00","95,150.00",654.11K,0.34%
1/15/2020,"95,637.00","95,637.00","95,719.00","95,150.00",818.09K,0.00%
1/14/2020,"95,637.00","95,313.00","95,881.00","95,069.00",402.22K,0.34%
1/13/2020,"95,313.00","96,612.00","96,612.00","95,313.00",495.46K,-1.26%
1/10/2020,"96,531.00","96,287.00","96,774.00","96,125.00",715.54K,0.25%
1/9/2020,"96,287.00","96,612.00","97,018.00","96,125.00",748.96K,-0.17%
1/8/2020,"96,449.00","96,206.00","96,449.00","95,394.00",1.01M,0.25%
1/7/2020,"96,206.00","95,394.00","96,449.00","95,394.00",551.42K,0.94%
1/6/2020,"95,313.00","95,800.00","95,962.00","94,826.00",595.09K,-0.76%
1/3/2020,"96,043.00","95,962.00","96,612.00","95,962.00",750.47K,0.34%
1/2/2020,"95,719.00","94,988.00","95,962.00","94,582.00",423.24K,1.20%
12/31/2019,"94,582.00","96,612.00","96,612.00","94,501.00",465.17K,0.00%
12/30/2019,"94,582.00","95,637.00","95,800.00","94,582.00",806.57K,-1.44%
12/27/2019,"95,962.00","94,988.00","96,206.00","94,176.00",460.15K,1.03%
12/26/2019,"94,988.00","95,637.00","95,800.00","94,988.00",414.18K,0.00%
12/25/2019,"94,988.00","96,195.00","96,195.00","94,746.00",649.43K,-0.51%
12/24/2019,"95,471.00","94,988.00","95,632.00","94,988.00",692.40K,0.51%
12/23/2019,"94,988.00","96,598.00","96,598.00","94,988.00",943.32K,-1.67%
12/20/2019,"96,598.00","96,598.00","96,839.00","96,195.00",2.19M,0.25%
12/19/2019,"96,356.00","95,471.00","96,598.00","95,471.00",1.90M,0.93%
12/18/2019,"95,471.00","94,505.00","95,793.00","94,424.00",1.68M,1.28%
12/17/2019,"94,263.00","95,632.00","95,632.00","94,263.00",995.56K,-1.35%
12/16/2019,"95,551.00","95,390.00","95,632.00","94,746.00",901.54K,0.59%
12/13/2019,"94,988.00","96,034.00","96,517.00","94,988.00",677.62K,-1.01%
12/12/2019,"95,954.00","95,793.00","96,195.00","95,712.00",841.66K,0.51%
12/11/2019,"95,471.00","94,746.00","95,471.00","94,424.00",952.73K,0.34%
12/10/2019,"95,149.00","95,068.00","95,551.00","94,585.00",1.02M,0.09%
12/9/2019,"95,068.00","93,619.00","95,149.00","93,619.00",919.26K,1.55%
12/6/2019,"93,619.00","94,907.00","94,907.00","93,619.00",1.12M,-1.27%
12/5/2019,"94,827.00","96,356.00","96,356.00","94,827.00",832.98K,-0.84%
12/4/2019,"95,632.00","93,700.00","95,632.00","93,700.00",832.44K,2.06%
12/3/2019,"93,700.00","94,827.00","94,827.00","93,458.00",1.71M,-1.61%
12/2/2019,"95,229.00","97,805.00","97,805.00","95,229.00",1.79M,-2.63%
11/29/2019,"97,805.00","98,208.00","98,530.00","97,564.00",659.81K,-0.49%
11/28/2019,"98,288.00","98,288.00","98,449.00","96,920.00",1.33M,0.00%
11/27/2019,"98,288.00","99,576.00","99,576.00","98,288.00",440.30K,-0.73%
11/26/2019,"99,013.00","98,932.00","99,818.00","98,771.00",1.17M,0.08%
11/25/2019,"98,932.00","98,369.00","99,254.00","97,081.00",816.89K,1.15%
11/22/2019,"97,805.00","98,530.00","99,174.00","97,644.00",863.62K,-0.41%
11/21/2019,"98,208.00","99,415.00","99,657.00","97,966.00",1.67M,-1.61%
11/20/2019,"99,818.00","100,220.00","100,462.00","99,254.00",1.38M,-0.32%
11/19/2019,"100,140.00","96,920.00","100,140.00","96,920.00",1.29M,2.98%
11/18/2019,"97,242.00","99,013.00","99,335.00","96,920.00",2.01M,-1.79%
11/15/2019,"99,013.00","101,428.00","101,428.00","96,598.00",2.86M,-2.30%
11/14/2019,"101,347.00","101,428.00","101,750.00","101,106.00",834.56K,0.32%
11/13/2019,"101,025.00","102,635.00","102,635.00","100,945.00",2.35M,-1.57%
11/12/2019,"102,635.00","104,084.00","104,084.00","102,474.00",2.32M,-1.39%
11/11/2019,"104,084.00","104,004.00","104,809.00","103,843.00",774.60K,0.08%
11/8/2019,"104,004.00","103,923.00","104,889.00","103,762.00",1.43M,0.08%
11/7/2019,"103,923.00","104,245.00","104,487.00","103,601.00",1.04M,-0.77%
11/6/2019,"104,728.00","103,843.00","105,050.00","103,440.00",1.42M,0.70%
11/5/2019,"104,004.00","105,694.00","105,694.00","104,004.00",2.25M,-1.60%
11/4/2019,"105,694.00","107,063.00","107,063.00","105,131.00",1.69M,-0.83%
11/1/2019,"106,580.00","104,809.00","107,063.00","104,809.00",1.16M,1.85%
10/31/2019,"104,648.00","106,258.00","106,258.00","103,682.00",3.06M,-1.52%
10/30/2019,"106,258.00","108,190.00","108,512.00","105,453.00",1.56M,-1.57%
10/29/2019,"107,948.00","107,626.00","108,592.00","107,546.00",624.34K,0.22%
10/28/2019,"107,707.00","108,270.00","108,995.00","107,546.00",670.03K,-0.52%
10/25/2019,"108,270.00","106,741.00","108,270.00","106,660.00",979.87K,1.43%
10/24/2019,"106,741.00","106,419.00","107,385.00","106,419.00",625.07K,0.23%
10/23/2019,"106,499.00","106,660.00","106,821.00","105,614.00",1.02M,-0.15%
10/22/2019,"106,660.00","107,868.00","108,190.00","106,499.00",1.68M,-0.82%
10/21/2019,"107,546.00","106,660.00","109,075.00","106,177.00",2.41M,0.83%
10/18/2019,"106,660.00","105,855.00","107,063.00","105,855.00",1.34M,1.14%
10/17/2019,"105,453.00","104,970.00","106,580.00","104,809.00",1.69M,0.46%
10/16/2019,"104,970.00","103,279.00","105,372.00","103,279.00",1.59M,1.64%
10/15/2019,"103,279.00","103,440.00","104,245.00","102,796.00",1.40M,-0.23%
10/14/2019,"103,521.00","103,843.00","103,843.00","102,957.00",703.25K,0.47%
10/11/2019,"103,038.00","102,233.00","103,038.00","102,152.00",757.57K,0.79%
10/10/2019,"102,233.00","101,991.00","103,440.00","101,991.00",530.58K,0.00%
10/9/2019,"102,233.00","103,682.00","103,682.00","102,072.00",795.78K,-1.55%
10/8/2019,"103,843.00","103,521.00","104,084.00","103,521.00",644.93K,-0.08%
10/7/2019,"103,923.00","103,360.00","104,648.00","103,199.00",1.00M,0.39%
10/4/2019,"103,521.00","103,923.00","105,372.00","103,440.00",769.85K,-0.31%
10/3/2019,"103,843.00","101,428.00","103,843.00","101,025.00",990.37K,1.57%
10/2/2019,"102,233.00","102,635.00","102,877.00","101,589.00",2.48M,-0.78%
10/1/2019,"103,038.00","104,245.00","104,406.00","102,796.00",1.45M,-1.31%
9/30/2019,"104,406.00","104,728.00","105,211.00","104,165.00",1.06M,-0.31%
9/27/2019,"104,728.00","104,648.00","105,533.00","104,165.00",1.42M,0.08%
9/26/2019,"104,648.00","102,313.00","104,728.00","101,830.00",1.94M,2.85%
9/25/2019,"101,750.00","101,669.00","102,152.00","101,025.00",741.16K,-0.39%
9/24/2019,"102,152.00","100,220.00","102,716.00","100,059.00",1.61M,1.93%
9/23/2019,"100,220.00","99,013.00","100,703.00","98,771.00",1.87M,1.97%
